,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Present_Price,Selling_Price
0,27000,1,1,1,0,5,5.59,3.35
1,43000,2,1,1,0,6,9.54,4.75
2,6900,1,1,1,0,2,9.85,7.25
3,5200,1,1,1,0,8,4.15,2.85
4,42450,2,1,1,0,5,6.87,4.6
5,2071,2,1,1,0,1,9.83,9.25
6,18796,1,1,1,0,4,8.12,6.75
7,33429,2,1,1,0,4,8.61,6.5
8,20273,2,1,1,0,3,8.89,8.75
9,42367,2,1,1,0,4,8.92,7.45
10,2135,1,1,1,0,2,3.6,2.85
11,51000,2,1,1,0,4,10.38,6.85
12,15000,1,1,2,0,4,9.94,7.5
13,26000,1,1,1,0,4,7.71,6.1
14,77427,1,1,1,0,10,7.21,2.25
15,43000,2,1,1,0,3,10.79,7.75
16,41678,2,1,1,0,4,10.79,7.25
17,35500,3,1,1,0,4,5.09,3.25
18,41442,1,1,1,0,9,7.98,2.65
19,25000,1,1,1,0,3,3.95,2.85
20,2400,1,1,1,0,2,5.71,4.9
21,50000,1,1,2,0,8,8.01,4.4
22,45280,1,1,1,0,5,3.46,2.5
23,56879,1,1,1,0,6,4.41,2.9
24,20000,1,1,1,0,8,4.99,3.0
25,55138,1,1,1,0,6,5.87,4.15
26,16200,1,2,1,0,2,6.49,6.0
27,44542,1,1,1,0,9,3.95,1.95
28,45000,2,1,1,0,4,10.38,7.45
29,51439,2,1,1,0,7,5.98,3.1
30,54200,1,1,1,0,8,4.89,2.35
31,39000,2,1,1,0,5,7.49,4.95
32,45000,2,1,1,0,5,9.95,6.0
33,45000,2,1,1,0,5,8.06,5.5
34,49998,3,1,1,0,8,7.74,2.95
35,48767,1,1,1,0,4,7.2,4.65
36,127000,1,2,1,0,16,2.28,0.35
37,10079,1,1,1,0,3,3.76,3.0
38,62000,1,1,1,0,16,7.98,2.25
39,24524,1,1,2,0,3,7.87,5.85
40,46706,1,1,1,0,5,3.98,2.55
41,58000,1,1,1,0,11,7.15,1.95
42,45780,2,1,1,0,5,8.06,5.5
43,50000,1,1,1,0,7,2.69,1.25
44,15000,1,1,2,0,5,12.04,7.5
45,64532,1,1,1,0,6,4.89,2.65
46,65000,1,1,1,0,13,4.15,1.05
47,25870,1,1,1,0,4,7.71,5.8
48,37000,1,1,2,0,2,9.29,7.75
49,104707,2,1,2,0,7,30.61,14.9
50,40000,2,1,2,0,4,30.61,23.0
51,15000,2,1,2,0,2,19.77,18.0
52,135000,2,2,2,0,6,30.61,16.0
53,90000,1,2,1,0,14,10.21,2.75
54,70000,1,1,2,0,10,15.04,3.6
55,40534,1,1,1,0,4,7.27,4.5
56,50000,1,1,1,0,9,18.54,4.75
57,39485,1,1,1,1,5,6.8,4.1
58,41000,2,1,2,0,5,35.96,19.99
59,40001,1,1,1,0,6,18.61,6.95
60,40588,1,1,1,0,4,7.7,4.5
61,78000,2,1,2,0,5,35.96,18.75
62,47000,2,1,2,0,4,35.96,23.5
63,6000,2,1,2,0,2,36.23,33.0
64,45000,2,1,1,0,5,6.95,4.75
65,11000,1,1,2,0,2,23.15,19.75
66,59000,2,1,1,0,9,20.45,9.25
67,88000,1,1,1,0,8,13.74,4.35
68,12000,1,1,1,0,3,20.91,14.25
69,71000,2,1,1,0,5,6.76,3.95
70,45000,2,1,1,0,8,12.48,4.5
71,56001,1,1,1,0,6,18.61,7.45
72,43000,1,1,1,0,8,5.71,2.65
73,83000,2,1,1,0,5,8.93,4.9
74,36000,1,1,1,0,4,6.8,3.95
75,72000,1,1,1,0,6,14.68,5.5
76,135154,1,1,2,0,15,12.35,1.5
77,80000,1,1,2,0,9,22.83,5.25
78,89000,2,1,2,0,7,30.61,14.5
79,23000,2,1,1,0,3,14.89,14.73
80,40000,2,1,1,0,4,7.85,4.75
81,15000,2,1,2,0,2,25.39,23.0
82,38000,2,1,1,0,4,13.46,12.5
83,197176,2,1,1,0,14,13.46,3.49
84,142000,1,2,2,3,13,23.73,2.5
85,78000,2,1,1,0,9,92.6,35.0
86,56000,1,1,1,0,7,13.74,5.9
87,47000,1,1,1,0,6,6.05,3.45
88,40000,1,1,1,0,5,6.76,4.75
89,62000,1,1,1,0,10,18.61,3.8
90,58242,2,1,1,0,5,16.09,11.25
91,75000,1,1,1,0,14,13.7,3.51
92,89000,1,1,2,0,11,22.78,4.0
93,72000,1,1,1,0,7,18.61,5.85
94,29000,2,1,2,0,3,25.39,20.75
95,8700,1,1,1,0,2,18.64,17.0
96,45000,1,1,1,0,6,18.61,7.05
97,50024,2,1,1,0,9,20.45,9.65
98,3000,1,2,1,0,3,1.9,1.75
99,1400,1,2,1,0,2,1.82,1.7
100,4000,1,2,1,0,2,1.78,1.65
101,1200,1,2,1,0,2,1.6,1.45
102,4100,1,2,1,0,2,1.47,1.35
103,21700,1,2,1,0,4,2.37,1.35
104,16500,1,2,1,1,5,3.45,1.35
105,15000,1,2,1,0,6,1.5,1.25
106,18000,1,2,1,0,3,1.5,1.2
107,11000,1,2,1,0,2,1.47,1.2
108,6000,1,2,1,0,3,1.78,1.2
109,8700,1,2,1,0,3,1.5,1.15
110,7000,1,2,1,0,5,2.4,1.15
111,35000,1,2,1,0,3,1.4,1.15
112,17000,1,2,1,0,4,1.47,1.15
113,17500,1,2,1,0,4,1.47,1.11
114,33000,1,2,1,0,6,1.47,1.1
115,14000,1,2,1,0,4,1.9,1.1
116,26000,1,2,1,0,4,1.47,1.1
117,5400,1,2,1,0,6,1.9,1.05
118,5700,1,2,1,0,3,1.26,1.05
119,6900,1,2,1,0,8,1.5,1.05
120,6000,1,2,1,0,3,1.17,1.05
121,46500,1,2,1,0,6,1.47,1.0
122,11500,1,2,1,0,7,1.75,0.95
123,40000,1,2,1,0,10,1.75,0.9
124,1300,1,2,1,0,2,0.95,0.9
125,7000,1,2,1,0,3,0.8,0.75
126,3000,1,2,1,0,2,0.87,0.8
127,5000,1,2,1,0,2,0.84,0.78
128,11000,1,2,1,0,2,0.87,0.75
129,18000,1,2,1,0,4,0.82,0.75
130,3500,1,2,1,0,2,0.95,0.75
131,500,1,2,1,0,3,0.95,0.72
132,11800,1,2,1,0,2,0.81,0.65
133,5000,1,2,1,0,4,0.74,0.65
134,23500,1,2,1,0,5,1.2,0.65
135,16000,1,2,1,0,6,0.787,0.65
136,15000,1,2,1,0,3,0.87,0.6
137,16600,1,2,1,0,4,0.95,0.6
138,32000,1,2,1,0,6,1.2,0.6
139,20000,1,2,1,0,3,0.8,0.6
140,29000,1,2,1,0,4,0.84,0.6
141,25000,1,2,1,0,3,0.84,0.6
142,25000,1,2,1,0,5,0.99,0.6
143,19000,1,2,1,0,7,0.81,0.6
144,15000,1,2,1,0,5,0.787,0.55
145,58000,1,2,1,0,4,0.84,0.55
146,45000,1,2,1,0,9,0.94,0.52
147,24000,1,2,1,0,3,0.94,0.51
148,6000,1,2,1,0,8,0.826,0.5
149,31000,1,2,1,0,3,0.55,0.5
150,13000,1,2,1,0,7,0.99,0.5
151,45000,1,2,1,0,6,0.99,0.5
152,8000,1,2,1,0,5,0.88,0.5
153,4300,1,2,2,0,2,0.51,0.48
154,15000,1,2,1,0,2,0.52,0.48
155,23000,1,2,1,0,4,0.84,0.48
156,8600,1,2,1,0,2,0.54,0.48
157,4000,1,2,2,0,2,0.51,0.45
158,24000,1,2,1,0,8,0.95,0.45
159,23000,1,2,1,0,5,0.826,0.45
160,14500,1,2,1,0,7,0.99,0.45
161,27000,1,2,1,0,9,0.95,0.45
162,14000,1,2,1,0,3,0.54,0.45
163,500,1,2,2,0,3,0.54,0.45
164,1000,1,2,1,0,3,0.55,0.45
165,42000,1,2,1,0,5,0.81,0.42
166,12000,1,2,1,0,6,0.73,0.42
167,14000,1,2,1,0,4,0.54,0.4
168,5500,1,2,1,0,7,0.83,0.4
169,6700,1,2,1,0,4,0.55,0.4
170,13700,1,2,1,0,5,0.64,0.4
171,1300,1,2,2,0,2,0.51,0.4
172,38600,1,2,1,0,4,0.72,0.38
173,75000,1,2,1,0,8,0.787,0.38
174,30000,1,2,1,0,8,1.05,0.35
175,24000,1,2,2,0,3,0.57,0.35
176,19000,1,2,2,0,5,0.52,0.35
177,213000,1,2,1,0,9,1.05,0.31
178,60000,1,2,1,0,7,0.51,0.3
179,50000,1,2,1,0,3,0.48,0.3
180,30000,1,2,1,0,6,0.58,0.3
181,21000,1,2,1,0,6,0.47,0.27
182,26000,1,2,1,1,11,0.75,0.25
183,1900,1,2,2,0,11,0.58,0.25
184,22000,1,2,2,0,9,0.52,0.25
185,32000,1,2,1,0,6,0.51,0.25
186,18000,1,2,1,0,6,0.57,0.25
187,55000,1,2,1,0,14,0.57,0.2
188,60000,1,2,1,0,11,0.75,0.2
189,25000,1,2,1,1,7,0.57,0.2
190,49000,1,2,1,1,12,0.75,0.2
191,24000,1,2,1,1,6,0.65,0.2
192,50000,1,2,1,0,11,0.787,0.2
193,35000,1,2,1,0,4,0.32,0.18
194,500000,1,2,2,0,11,0.52,0.17
195,33000,1,2,1,0,9,0.51,0.16
196,35000,1,2,1,1,8,0.57,0.15
197,53000,1,2,1,0,12,0.58,0.12
198,92233,1,2,1,0,13,0.75,0.1
199,58000,2,1,1,1,9,6.79,3.25
200,28200,1,1,1,0,4,5.7,4.4
201,53460,1,1,1,0,8,4.6,2.95
202,28282,1,1,1,0,4,4.43,2.75
203,3493,1,1,1,1,3,5.7,5.25
204,12479,1,1,1,0,2,7.13,5.75
205,34797,1,1,2,0,4,5.7,5.15
206,3435,1,1,1,0,2,8.1,7.9
207,21125,2,1,1,0,4,5.7,4.85
208,35775,1,1,1,0,7,4.6,3.1
209,43535,2,1,1,0,4,14.79,11.75
210,22671,1,1,1,0,3,13.6,11.25
211,31604,1,1,1,0,8,6.79,2.9
212,20114,1,1,1,0,2,5.7,5.25
213,36100,1,1,1,0,7,9.4,4.5
214,12500,1,1,1,0,3,4.43,2.9
215,15000,1,1,1,0,3,4.43,3.15
216,45078,1,1,1,0,5,9.4,6.45
217,36000,1,1,1,0,7,9.4,4.5
218,38488,1,1,1,0,2,4.43,3.5
219,32000,1,1,2,0,6,6.79,4.5
220,77632,2,1,1,0,5,7.6,6.0
221,61381,2,1,1,0,4,9.4,8.25
222,36198,1,1,2,0,6,9.4,5.11
223,22517,1,1,1,0,8,4.6,2.7
224,24678,1,1,1,0,4,5.7,5.25
225,57000,1,1,1,0,8,4.43,2.55
226,60000,2,1,1,0,7,9.4,4.95
227,52132,2,1,1,0,7,6.79,3.1
228,45000,2,1,1,0,6,9.4,6.15
229,15001,1,1,1,0,2,9.4,9.25
230,12900,1,1,2,0,4,14.79,11.45
231,53000,2,1,1,0,6,5.7,3.9
232,4492,1,1,1,0,4,5.7,5.5
233,15141,1,1,1,0,2,9.4,9.1
234,11849,1,1,1,0,3,4.43,3.1
235,68000,2,1,1,0,4,13.6,11.25
236,60241,1,1,1,0,6,9.4,4.8
237,23709,1,1,1,0,7,4.43,2.0
238,32322,2,1,1,0,7,9.4,5.35
239,35866,1,1,1,1,4,7.13,4.75
240,34000,1,1,1,0,5,7.13,4.4
241,7000,1,1,1,0,3,7.6,6.25
242,49000,2,1,1,0,6,9.4,5.95
243,71000,2,1,1,0,7,9.4,5.2
244,35000,1,1,1,0,7,6.79,3.75
245,36000,1,1,1,0,4,9.4,5.95
246,30000,1,1,1,0,6,4.6,4.0
247,17000,1,1,1,0,3,7.6,5.25
248,35934,2,1,1,0,3,13.6,12.9
249,56701,1,1,1,0,6,9.9,5.0
250,31427,1,1,2,0,4,6.82,5.4
251,48000,2,1,1,0,5,9.9,7.2
252,54242,1,1,1,0,6,9.9,5.25
253,53675,1,1,1,0,7,5.35,3.0
254,49562,1,1,1,0,3,13.6,10.25
